id,title,indexed,bgcov,n_mb_works
1010-whippoorwill-lane,1010 Whippoorwill Lane,0,0,0
1-1-love,1+1 = Love,0,0,0
11-months-29-days,11 Months 29 Days,0,0,0
12-12-84,12-12-84,0,0,0
1460-elder-street,1460 Elder Street,0,0,0
16th-avenue,16th Avenue,0,0,1
18-wheels-humming-home-sweet-home,18 Wheels Humming Home Sweet Home,1,0,0
1929,1929,0,0,3
1952-vincent-black-lightning,1952 Vincent Black Lightning,1,2,1
1953-dear-john-honky-tonk-blues,1953 Dear John Honky Tonk Blues,0,0,1
1959,1959,0,0,7
1976,1976,0,1,8
19-years-and-1800-miles,19 Years And 1800 Miles,0,0,0
1-rock-n-roll-c-w-boogie-blues-man,#1 Rock 'N' Roll C & W Boogie Blues Man,0,0,0
20-20-vision,20 20 Vision,0,8,5
2020-vision,2020 vision,1,0,2
21-miles-to-lake-charles-prison,21 Miles To Lake Charles Prison,0,0,0
2393,The Key to Heaven,1,2,2
2402,I’ll Be Alright Tomorrow,1,2,0
24-karat-heartache,24 Karat Heartache,0,0,1
24th-hour,24th Hour,0,0,0
25-minutes-to-go,25 Minutes To Go,0,0,1
30-000-feet,"30,000 Feet",0,0,5
30-pieces-of-silver,30 Pieces of Silver,0,0,1
32-acres,32 Acres,0,1,1
35-mph-town,35 mph Town,0,0,0
45-dollars-in-quarters,45 Dollars in Quarters,0,0,0
50-000-names-carved-in-the-wall,"50,000 Names Carved In The Wall",0,0,0
5-01-blues,5:01 Blues,0,0,1
57-chevrolet,57 Chevrolet,0,0,0
727-east-magnolia-avenue,727 East Magnolia Avenue,0,0,1
80-proof-bottle-of-tear-stopper,80 Proof Bottle Of Tear Stopper,0,0,0
900-miles,900 Miles,1,5,1
99-years,99 Years,1,1,1
a-11,A-11,0,3,21
a-baby-again,A Baby Again,0,0,0
a-baby-and-a-sewing-machine,A Baby And A Sewing Machine,0,0,0
a-baby-just-like-you,A Baby Just Like You,0,0,1
a-bad-goodbye,A Bad Goodbye,0,0,1
abbey-reel-the,Abbey Reel (The),0,0,0
a-beautiful-home,A Beautiful Home,1,1,2
a-beautiful-mistake,A Beautiful Mistake,0,0,5
a-better-life-is-waiting,A Better Life Is Waiting,0,0,1
a-better-man,A Better Man,0,2,38
a-better-rain,A Better Rain,0,0,1
a-better-time-to-say-goodbye,A Better Time To Say Goodbye,0,0,1
a-better-way,A Better Way,0,1,16
abide-with-me,Abide With Me,0,2,9
a-big-hunk-o-love,A Big Hunk O' Love,0,0,1
a-big-one,A Big One,0,0,9
abilene,Abilene,1,1,11
abilene-rose,Abilene Rose,0,0,1
a-blanket-of-stars,A Blanket Of Stars,0,0,4
able-bodied-man,Able Bodied Man,0,0,1
a-blossom-fell,A Blossom Fell,0,0,1
a-bottle-of-wine-and-patsy-cline,A Bottle Of Wine And Patsy Cline,0,0,1
about-horses-and-wars,About Horses and Wars,0,0,0
above-all,Above All,0,1,9
above-and-beyond-the-call-of-love,Above and Beyond the Call of Love,0,0,0
above-suspicion,Above Suspicion,0,0,0
abraham-martin-and-john,Abraham Martin And John,0,0,1
a-brand-new-bed-of-roses,A Brand New Bed Of Roses,0,0,1
a-brand-new-broken-heart,A Brand New Broken Heart,0,3,2
a-bridge-i-didnt-burn,A Bridge I Didn’t Burn,0,0,0
a-bridge-i-just-can-t-burn,A Bridge I Just Can't Burn,0,0,0
a-bridge-that-just-won-t-burn,A Bridge That Just Won't Burn,0,0,0
a-broken-heart-and-a-glass-of-beer,A broken Heart And A Glass Of Beer,0,0,1
a-broken-heart-a-wedding-band,A Broken Heart A Wedding Band,0,0,0
a-broken-hearted-me,A Broken Hearted Me,0,0,1
a-broken-tie,A Broken Tie,0,0,0
