id,title,source,nt,bg,std,crank,tags,mbcov
1-1-love,1+1 = Love,classic-country,11 love,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,2
1-rock-n-roll-c-w-boogie-blues-man,#1 Rock 'N' Roll C & W Boogie Blues Man,classic-country,1 rock n roll c and w boogie blues man,False,False,0,ClassicCountry|NashvilleSound|JamFriendly,3
1010-whippoorwill-lane,1010 Whippoorwill Lane,classic-country,1010 whippoorwill lane,False,False,0,ClassicCountry,3
11-months-29-days,11 Months 29 Days,classic-country,11 months 29 days,False,False,0,JamFriendly|ClassicCountry|Outlaw,0
12-12-84,12-12-84,classic-country,121284,False,False,0,ClassicCountry,0
1460-elder-street,1460 Elder Street,classic-country,1460 elder street,False,False,0,ClassicCountry|JamFriendly,0
16th-avenue,16th Avenue,classic-country,16th avenue,False,False,3,ClassicCountry|JamFriendly,1
18-wheels-humming-home-sweet-home,18 Wheels Humming Home Sweet Home,classic-country,18 wheels humming home sweet home,False,False,0,JamFriendly|ClassicCountry,42
19-years-and-1800-miles,19 Years And 1800 Miles,classic-country,19 years and 1800 miles,False,False,0,JamFriendly|ClassicCountry,1
1929,1929,classic-country,1929,False,False,5,ClassicCountry|JamFriendly|Outlaw,0
1953-dear-john-honky-tonk-blues,1953 Dear John Honky Tonk Blues,classic-country,1953 dear john honky tonk blues,False,False,0,JamFriendly|ClassicCountry,3
1959,1959,classic-country,1959,False,False,16,JamFriendly|ClassicCountry,0
1976,1976,classic-country,1976,False,False,8,JamFriendly|ClassicCountry,1
20-20-vision,20 20 Vision,classic-country,20 20 vision,False,False,0,ClassicCountry|NashvilleSound,2
21-miles-to-lake-charles-prison,21 Miles To Lake Charles Prison,classic-country,21 miles to lake charles prison,False,False,0,JamFriendly|ClassicCountry|Outlaw,1
2393,The Key to Heaven,bluegrass-lyrics,key to heaven,False,False,0,JamFriendly,2
24-karat-heartache,24 Karat Heartache,classic-country,24 karat heartache,False,False,0,JamFriendly|ClassicCountry|HonkyTonk,0
2402,I’ll Be Alright Tomorrow,bluegrass-lyrics,ill be alright tomorrow,False,False,0,JamFriendly,2
24th-hour,24th Hour,classic-country,24th hour,False,False,0,JamFriendly|ClassicCountry|HonkyTonk,1
25-minutes-to-go,25 Minutes To Go,classic-country,25 minutes to go,False,False,25,ClassicCountry|Rockabilly|Folk|Gospel|Outlaw|JamFriendly,0
30-000-feet,"30,000 Feet",classic-country,30000 feet,False,False,5,JamFriendly|ClassicCountry,0
30-pieces-of-silver,30 Pieces of Silver,classic-country,30 pieces of silver,False,False,0,JamFriendly|Gospel|ClassicCountry,1
32-acres,32 Acres,classic-country,32 acres,True,False,4,Bluegrass|JamFriendly,1
35-mph-town,35 mph Town,classic-country,35 mph town,False,False,0,ClassicCountry,1
45-dollars-in-quarters,45 Dollars in Quarters,classic-country,45 dollars in quarters,False,False,0,JamFriendly|ClassicCountry,0
5-01-blues,5:01 Blues,classic-country,501 blues,False,False,6,ClassicCountry|JamFriendly|Outlaw,0
50-000-names-carved-in-the-wall,"50,000 Names Carved In The Wall",classic-country,50000 names carved in the wall,False,False,0,JamFriendly|ClassicCountry,3
57-chevrolet,57 Chevrolet,classic-country,57 chevrolet,False,False,0,JamFriendly|ClassicCountry,1
727-east-magnolia-avenue,727 East Magnolia Avenue,classic-country,727 east magnolia avenue,False,False,0,ClassicCountry|JamFriendly|NashvilleSound,1
80-proof-bottle-of-tear-stopper,80 Proof Bottle Of Tear Stopper,classic-country,80 proof bottle of tear stopper,False,False,0,ClassicCountry|JamFriendly,0
a-11,A-11,classic-country,a11,False,False,18,JamFriendly|ClassicCountry|Bakersfield,2
a-baby-again,A Baby Again,classic-country,baby again,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,2
a-baby-and-a-sewing-machine,A Baby And A Sewing Machine,classic-country,baby and a sewing machine,False,False,0,JamFriendly|ClassicCountry,1
a-bad-goodbye,A Bad Goodbye,classic-country,bad goodbye,False,False,0,ClassicCountry,9
a-beautiful-mistake,A Beautiful Mistake,classic-country,beautiful mistake,False,False,3,JamFriendly|ClassicCountry,5
a-better-life-is-waiting,A Better Life Is Waiting,classic-country,better life is waiting,False,False,0,JamFriendly|Gospel|ClassicCountry,2
a-better-man,A Better Man,classic-country,better man,False,False,16,ClassicCountry|JamFriendly,2
a-better-rain,A Better Rain,classic-country,better rain,False,False,0,ClassicCountry|JamFriendly,5
a-better-time-to-say-goodbye,A Better Time To Say Goodbye,classic-country,better time to say goodbye,False,False,3,JamFriendly|ClassicCountry|HonkyTonk,9
a-better-way,A Better Way,classic-country,better way,False,False,7,ClassicCountry|JamFriendly,1
a-big-hunk-o-love,A Big Hunk O' Love,classic-country,big hunk o love,False,False,0,Rockabilly|ClassicCountry|Pop|Gospel|JamFriendly,2
a-big-one,A Big One,classic-country,big one,False,False,0,ClassicCountry|JamFriendly,4
a-blanket-of-stars,A Blanket Of Stars,classic-country,blanket of stars,False,False,0,JamFriendly|ClassicCountry,3
a-blossom-fell,A Blossom Fell,classic-country,blossom fell,False,False,30,ClassicCountry|Modal|WesternSwing,1
a-bottle-of-wine-and-patsy-cline,A Bottle Of Wine And Patsy Cline,classic-country,bottle of wine and patsy cline,False,False,0,Modal|ClassicCountry,1
a-brand-new-bed-of-roses,A Brand New Bed Of Roses,classic-country,brand new bed of roses,False,False,0,ClassicCountry|JamFriendly,3
a-brand-new-broken-heart,A Brand New Broken Heart,classic-country,brand new broken heart,False,False,0,ClassicCountry,3
a-bridge-i-didnt-burn,A Bridge I Didn’t Burn,classic-country,bridge i didnt burn,False,False,0,JamFriendly|ClassicCountry,5
a-bridge-i-just-can-t-burn,A Bridge I Just Can't Burn,classic-country,bridge i just cant burn,False,False,0,ClassicCountry|JamFriendly|HonkyTonk,5
a-bridge-that-just-won-t-burn,A Bridge That Just Won't Burn,classic-country,bridge that just wont burn,False,False,0,ClassicCountry,5
a-broken-heart-a-wedding-band,A Broken Heart A Wedding Band,classic-country,broken heart a wedding band,False,False,0,JamFriendly|ClassicCountry,3
a-broken-heart-and-a-glass-of-beer,A broken Heart And A Glass Of Beer,classic-country,broken heart and a glass of beer,False,False,0,ClassicCountry|JamFriendly|HonkyTonk|WesternSwing,3
a-broken-hearted-me,A Broken Hearted Me,classic-country,broken hearted me,False,False,0,ClassicCountry|Pop|NashvilleSound,2
a-broken-tie,A Broken Tie,bluegrass-lyrics,broken tie,False,False,0,ClassicCountry|JamFriendly,2
a-cabin-in-the-hills,A Cabin In The Hills,classic-country,cabin in the hills,False,False,0,ClassicCountry|JamFriendly|Gospel,2
a-candle-in-the-window,A Candle In The Window,classic-country,candle in the window,False,False,0,ClassicCountry,1
a-castle-in-the-sky,A Castle in the Sky,classic-country,castle in the sky,False,False,4,ClassicCountry|JamFriendly,1
a-change-in-the-air,A Change In The Air,classic-country,change in the air,False,False,0,ClassicCountry,6
a-christmas-card,A Christmas Card,classic-country,christmas card,False,False,0,ClassicCountry,3
a-cold-day-in-december,A Cold Day In December,classic-country,cold day in december,False,False,0,JamFriendly|ClassicCountry,1
a-country-boy-can-survive,A Country Boy Can Survive,classic-country,country boy can survive,False,False,12,JamFriendly|ClassicCountry|Outlaw,12
a-country-song,A Country Song,classic-country,country song,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,2
a-courtroom-then-goodbye,A Courtroom Then Goodbye,classic-country,courtroom then goodbye,False,False,0,ClassicCountry|NashvilleSound|HonkyTonk|JamFriendly,9
a-cowboy-like-you,A Cowboy Like You,classic-country,cowboy like you,False,False,0,ClassicCountry|JamFriendly,6
a-cowboy-s-special-christmas,A Cowboy's Special Christmas,classic-country,cowboys special christmas,False,False,0,ClassicCountry,3
a-cradle-in-bethlehem,A Cradle In Bethlehem,classic-country,cradle in bethlehem,True,False,12,ClassicCountry|Bluegrass|Gospel,1
a-daisy-a-day,A Daisy a Day,classic-country,daisy a day,False,False,0,NashvilleSound|ClassicCountry|JamFriendly,1
a-dark-road-is-a-hard-road-to-travel,A Dark Road Is A Hard Road To Travel,classic-country,dark road is a hard road to travel,True,False,0,JamFriendly|Bluegrass|Gospel,1
a-dark-starless-night,A Dark Starless Night,classic-country,dark starless night,True,False,0,JamFriendly|Bluegrass,4
a-day-in-the-life-of-a-fool,A Day In The Life Of A Fool,classic-country,day in the life of a fool,False,False,34,ClassicCountry,2
a-day-without-prayer,A Day Without Prayer,classic-country,day without prayer,False,False,0,JamFriendly|Gospel|ClassicCountry,1
a-devil-like-me-needs-an-angel-like-you,A Devil Like Me Needs An Angel Like You,classic-country,devil like me needs an angel like you,False,False,0,JamFriendly|ClassicCountry|Bakersfield,6
a-different-kind-of-sad,A Different Kind Of Sad,classic-country,different kind of sad,False,False,4,JamFriendly|ClassicCountry|Bakersfield,1
a-distant-land-to-roam,A Distant Land To Roam,classic-country,distant land to roam,True,False,10,JamFriendly|Bluegrass|OldTime,5
a-dog-s-life,A Dog's Life,classic-country,dogs life,False,False,3,Rockabilly|ClassicCountry|Pop|Gospel|JamFriendly,1
a-dozen-more-like-you,A Dozen More Like You,classic-country,dozen more like you,False,False,0,JamFriendly|ClassicCountry,6
a-drunk-can-t-be-a-man,A Drunk Can't Be A Man,classic-country,drunk cant be a man,False,False,6,JamFriendly|ClassicCountry|HonkyTonk,1
a-eee,A-Eee,classic-country,aeee,False,False,0,JamFriendly|ClassicCountry|Outlaw,0
a-face-in-the-crowd,A Face In The Crowd,classic-country,face in the crowd,True,False,28,Bluegrass|Folk|JamFriendly,4
a-faded-red-ribbon,A Faded Red Ribbon,classic-country,faded red ribbon,True,True,0,JamFriendly|Bluegrass|BluegrassStandard,3
a-faded-rose-a-broken-heart,A Faded Rose A Broken Heart,classic-country,faded rose a broken heart,False,False,0,NashvilleSound|ClassicCountry|JamFriendly,3
a-fallen-star,A Fallen Star,classic-country,fallen star,False,False,31,ClassicCountry|NashvilleSound,2
a-far-cry-from-you,A Far Cry From You,classic-country,far cry from you,False,False,0,ClassicCountry|JamFriendly,2
a-far-cry-from-you-1,A Far Cry From You,classic-country,far cry from you,False,False,0,JamFriendly|ClassicCountry,2
a-few-good-ole-country-boys-around,A Few Good Ole Country Boys Around,classic-country,few good ole country boys around,False,False,0,JamFriendly|ClassicCountry,2
a-few-more-seasons,A Few More Seasons,classic-country,few more seasons,True,False,7,JamFriendly|Bluegrass|Gospel,2
a-few-more-years,A Few More Years,classic-country,few more years,True,False,6,JamFriendly|Bluegrass|Gospel,3
a-few-old-memories,A Few Old Memories,classic-country,few old memories,False,False,8,JamFriendly|ClassicCountry,4
a-few-old-memories-1,A Few Old Memories,classic-country,few old memories,True,False,8,ClassicCountry|Bluegrass|Pop|JamFriendly,4
a-few-stars-short-of-the-moon,A Few Stars Short Of The Moon,classic-country,few stars short of the moon,False,False,0,ClassicCountry,3
a-few-steps-away,A Few Steps Away,classic-country,few steps away,False,False,0,ClassicCountry|JamFriendly|HonkyTonk,0
a-fire-i-can-t-put-out,A Fire I Can't Put Out,classic-country,fire i cant put out,False,False,0,ClassicCountry|JamFriendly,4
a-flower-blooming-in-the-wildwood,A Flower Blooming in the Wildwood,classic-country,flower blooming in the wildwood,True,False,0,JamFriendly|Bluegrass|OldTime,9
a-fool-and-his-dreams,A Fool And His Dreams,classic-country,fool and his dreams,False,False,0,ClassicCountry|Modal|WesternSwing,8
a-fool-and-his-love-are-soon-parted,A Fool And His Love Are Soon Parted,classic-country,fool and his love are soon parted,False,False,0,JamFriendly|ClassicCountry,2
a-fool-never-learns,A Fool Never Learns,classic-country,fool never learns,False,False,4,JamFriendly|ClassicCountry,1
a-fool-such-as-i,A Fool Such As I,bluegrass-lyrics,fool such as i,False,False,0,ClassicCountry,5
a-fooler-a-faker,A Fooler A Faker,classic-country,fooler a faker,False,False,0,ClassicCountry|JamFriendly|WesternSwing,0
a-friend-in-california,A Friend In California,classic-country,friend in california,False,False,11,ClassicCountry|JamFriendly|Outlaw,2
a-friend-to-me,A Friend To Me,classic-country,friend to me,False,False,0,ClassicCountry|JamFriendly,5
a-front-seat-to-hear-ole-johnny-sing,A Front Seat To Hear Ole Johnny Sing,classic-country,front seat to hear ole johnny sing,False,False,0,JamFriendly|ClassicCountry,5
a-full-time-job,A Full Time Job,classic-country,full time job,False,False,8,JamFriendly|ClassicCountry|NashvilleSound,4
a-gentleman-on-my-mind,A Gentleman On My Mind,classic-country,gentleman on my mind,False,False,0,JamFriendly|ClassicCountry,8
a-ghost-of-a-chance,A Ghost Of A Chance,classic-country,ghost of a chance,False,False,0,JamFriendly|ClassicCountry,1
a-gift-of-love,A Gift Of Love,classic-country,gift of love,True,False,6,Bluegrass|JamFriendly,3
a-girl-in-the-night,A Girl In The Night,classic-country,girl in the night,False,False,0,ClassicCountry|JamFriendly|WesternSwing,1
a-good-chance-of-tear-fall-tonight,A Good Chance Of Tear Fall Tonight,classic-country,good chance of tear fall tonight,False,False,0,ClassicCountry|JamFriendly,8
a-good-love-and-a-bottle-of-wine,A Good Love And A Bottle Of Wine,classic-country,good love and a bottle of wine,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,2
a-good-love-died-tonight,A Good Love Died Tonight,classic-country,good love died tonight,False,False,0,ClassicCountry|JamFriendly,2
a-good-love-is-like-a-good-song,A Good Love Is Like A Good Song,classic-country,good love is like a good song,False,False,0,JamFriendly|ClassicCountry,2
a-good-man-is-hard-to-find,A Good Man Is Hard To Find,classic-country,good man is hard to find,False,False,91,Pop|ClassicCountry|Modal|Jazz,1
a-good-old-country-song,A Good Old Country Song,classic-country,good old country song,False,False,0,JamFriendly|ClassicCountry,2
a-good-year-for-the-roses,A Good Year For The Roses,classic-country,good year for the roses,False,False,136,JamFriendly|ClassicCountry,1
a-guy-named-joe,A Guy Named Joe,classic-country,guy named joe,False,False,0,ClassicCountry|HonkyTonk|JamFriendly,3
a-habit-i-can-t-break,A Habit I Can't Break,classic-country,habit i cant break,True,False,0,ClassicCountry|Bluegrass|Pop,1
a-half-way-chance-with-you,A Half Way Chance With You,classic-country,half way chance with you,False,False,0,ClassicCountry|JamFriendly,6
a-handful-of-dust,A Handful Of Dust,classic-country,handful of dust,False,False,7,JamFriendly|ClassicCountry,2
a-harley-someday,A Harley Someday,classic-country,harley someday,False,False,0,Folk|Outlaw|ClassicCountry|JamFriendly,9
a-headache-tomorrow-or-a-heartache-tonight,A Headache Tomorrow Or A Heartache Tonight,classic-country,headache tomorrow or a heartache tonight,False,False,0,ClassicCountry|NashvilleSound,3
a-heart-don-t-need-eyes,A Heart Don't Need Eyes,classic-country,heart dont need eyes,False,False,0,JamFriendly|ClassicCountry|Outlaw,3
a-heart-full-of-love,A Heart Full Of Love,classic-country,heart full of love,False,False,21,JamFriendly|ClassicCountry,1
a-heart-full-of-love-1,A Heart Full Of Love,classic-country,heart full of love,False,False,21,JamFriendly|ClassicCountry|NashvilleSound,1
a-heart-like-hers,A Heart Like Hers,classic-country,heart like hers,False,False,3,ClassicCountry,3
a-heart-like-mine,A Heart Like Mine,classic-country,heart like mine,False,False,4,ClassicCountry|JamFriendly,3
a-heart-like-you,A Heart Like You,classic-country,heart like you,False,False,0,JamFriendly|ClassicCountry,6
a-heart-that-will-never-break-again,A Heart That Will Never Break Again,classic-country,heart that will never break again,True,False,0,JamFriendly|Bluegrass|Gospel,4
a-heartache-for-a-keepsake,A Heartache for a Keepsake,classic-country,heartache for a keepsake,False,False,0,JamFriendly|ClassicCountry,0
a-heartache-to-recall,A Heartache To Recall,classic-country,heartache to recall,False,False,0,JamFriendly|ClassicCountry|HonkyTonk,0
a-heartbreak-ago,A Heartbreak Ago,classic-country,heartbreak ago,False,False,0,JamFriendly|ClassicCountry|HonkyTonk,1
a-home-in-heaven,A Home in Heaven,classic-country,home in heaven,False,False,5,HonkyTonk|ClassicCountry|JamFriendly|Gospel,15
a-house-that-has-everything,A House That Has Everything,classic-country,house that has everything,False,False,6,Rockabilly|ClassicCountry|Pop|Gospel|JamFriendly,1
a-house-without-love,A House Without Love,classic-country,house without love,False,False,25,HonkyTonk|ClassicCountry|JamFriendly,2
a-hundred-and-sixty-acres,A Hundred and Sixty Acres,classic-country,hundred and sixty acres,False,False,12,ClassicCountry|JamFriendly,1
a-hundred-times-today,A Hundred Times Today,classic-country,hundred times today,False,False,4,JamFriendly|ClassicCountry|NashvilleSound,4
a-hundred-years-from-now,A Hundred Years From Now,classic-country,hundred years from now,False,False,0,Rockabilly|ClassicCountry|Pop|Gospel|JamFriendly,6
a-hundred-years-from-now-1,A Hundred Years From Now,classic-country,hundred years from now,False,False,0,JamFriendly|ClassicCountry|Bakersfield,6
a-hundred-years-from-now-2,A Hundred Years From Now,classic-country,hundred years from now,True,True,0,JamFriendly|Bluegrass|BluegrassStandard,6
a-hundred-years-from-now-3,A Hundred Years From Now,golden-standard,hundred years from now,True,True,0,JamFriendly|Bluegrass|BluegrassStandard,6
a-jukebox-with-a-country-song,A Jukebox With a Country Song,classic-country,jukebox with a country song,False,False,6,ClassicCountry|JamFriendly,2
a-king-without-a-queen,A King Without A Queen,classic-country,king without a queen,False,False,5,ClassicCountry|JamFriendly|Outlaw,1
a-kiss-and-the-keys,A Kiss And The Keys,classic-country,kiss and the keys,False,False,0,ClassicCountry|JamFriendly,1
a-lady-in-your-life,A Lady in Your Life,classic-country,lady in your life,False,False,0,JamFriendly|ClassicCountry|HonkyTonk,2
a-lady-like-you,A Lady Like You,classic-country,lady like you,False,False,0,JamFriendly|ClassicCountry|NashvilleSound,6
a-letter-from-home,A Letter From Home,classic-country,letter from home,False,False,12,ClassicCountry|Rockabilly|Folk|Gospel|Outlaw|JamFriendly,1
a-letter-from-shirley-miller,A Letter From Shirley Miller,classic-country,letter from shirley miller,False,False,0,JamFriendly|ClassicCountry,6
a-letter-to-my-heart,A Letter To My Heart,classic-country,letter to my heart,False,False,15,JamFriendly|ClassicCountry|NashvilleSound,6
a-letter-to-tom,A Letter To Tom,classic-country,letter to tom,True,False,0,JamFriendly|Bluegrass|OldTime,3
