# Works excluded from search/collections (indexed: false at build time).
#
# TWO PRUNE WAVES (third column says which):
#  1. numeric mbcov  — 2026-07-23 coverage prune (see curation/decision-data/FINDINGS.md §5.3
#     and curation/INDEX_DECISIONS.md; per-work snapshot: curation/decision-data/site_index_scored.csv):
#     REMOVE = mbcov < 5 AND not blind-spot-whitelisted AND not verified-canonical.
#     NOTE: mbcov was fuzzy-title-matched and inflated for generic titles.
#  2. 'ledger-cleanup' — 2026-07-31 convergence on the bluegrass canon. KEEP needed
#     two independent signals: any two of {MB coverage, Strum Machine catalog,
#     BluegrassLyrics.com} — or instrumental jam canon (tune list/tab/ABC), a
#     curated-bluegrass-artist credit, or user origin. Single-signal rows pruned.
#     Every pruned title was then manually reviewed (163 rescued via keep:).
#
# POLICY (Mike, 2026-07-31): the searchable index is deliberately bluegrass +
# bluegrass-adjacent. The full archive stays on disk and resolves by direct URL;
# nothing here is deleted, and anything can come back later.
#
# Non-destructive: works stay on disk and resolve by direct URL; user-origin
# works are never pruned regardless of this list; registry keep: entries win.
#
# RESTORE a song:  ./scripts/utility curate unprune <work-id> --reason "..."
# RESTORE in bulk: delete rows here (or add keep: entries), then rebuild.
id,title,mbcov
1-1-love,1+1 = Love,2
1-rock-n-roll-c-w-boogie-blues-man,#1 Rock 'N' Roll C & W Boogie Blues Man,3
1010-whippoorwill-lane,1010 Whippoorwill Lane,3
11-months-29-days,11 Months 29 Days,0
12-12-84,12-12-84,0
1460-elder-street,1460 Elder Street,0
16th-avenue,16th Avenue,1
19-years-and-1800-miles,19 Years And 1800 Miles,1
1929,1929,0
1953-dear-john-honky-tonk-blues,1953 Dear John Honky Tonk Blues,3
1959,1959,0
1976,1976,1
20-20-vision,20 20 Vision,2
21-miles-to-lake-charles-prison,21 Miles To Lake Charles Prison,1
2393,The Key to Heaven,2
24-karat-heartache,24 Karat Heartache,0
2402,I’ll Be Alright Tomorrow,2
24th-hour,24th Hour,1
25-minutes-to-go,25 Minutes To Go,0
30-000-feet,"30,000 Feet",0
30-pieces-of-silver,30 Pieces of Silver,1
32-acres,32 Acres,1
35-mph-town,35 mph Town,1
45-dollars-in-quarters,45 Dollars in Quarters,0
5-01-blues,5:01 Blues,0
50-000-names-carved-in-the-wall,"50,000 Names Carved In The Wall",3
57-chevrolet,57 Chevrolet,1
727-east-magnolia-avenue,727 East Magnolia Avenue,1
80-proof-bottle-of-tear-stopper,80 Proof Bottle Of Tear Stopper,0
a-11,A-11,2
a-baby-again,A Baby Again,2
a-baby-and-a-sewing-machine,A Baby And A Sewing Machine,1
a-better-life-is-waiting,A Better Life Is Waiting,2
a-better-man,A Better Man,2
a-better-way,A Better Way,1
a-big-hunk-o-love,A Big Hunk O' Love,2
a-big-one,A Big One,4
a-blanket-of-stars,A Blanket Of Stars,3
a-blossom-fell,A Blossom Fell,1
a-bottle-of-wine-and-patsy-cline,A Bottle Of Wine And Patsy Cline,1
a-brand-new-bed-of-roses,A Brand New Bed Of Roses,3
a-brand-new-broken-heart,A Brand New Broken Heart,3
a-broken-heart-a-wedding-band,A Broken Heart A Wedding Band,3
a-broken-heart-and-a-glass-of-beer,A broken Heart And A Glass Of Beer,3
a-broken-hearted-me,A Broken Hearted Me,2
a-broken-tie,A Broken Tie,2
a-cabin-in-the-hills,A Cabin In The Hills,2
a-candle-in-the-window,A Candle In The Window,1
a-castle-in-the-sky,A Castle in the Sky,1
a-christmas-card,A Christmas Card,3
a-cold-day-in-december,A Cold Day In December,1
a-country-song,A Country Song,2
a-cowboy-s-special-christmas,A Cowboy's Special Christmas,3
a-cradle-in-bethlehem,A Cradle In Bethlehem,1
a-daisy-a-day,A Daisy a Day,1
a-dark-road-is-a-hard-road-to-travel,A Dark Road Is A Hard Road To Travel,1
a-dark-starless-night,A Dark Starless Night,4
a-day-in-the-life-of-a-fool,A Day In The Life Of A Fool,2
a-day-without-prayer,A Day Without Prayer,1
a-different-kind-of-sad,A Different Kind Of Sad,1
a-dog-s-life,A Dog's Life,1
a-drunk-can-t-be-a-man,A Drunk Can't Be A Man,1
a-eee,A-Eee,0
a-faded-rose-a-broken-heart,A Faded Rose A Broken Heart,3
a-fallen-star,A Fallen Star,2
a-far-cry-from-you,A Far Cry From You,2
a-far-cry-from-you-1,A Far Cry From You,2
a-few-good-ole-country-boys-around,A Few Good Ole Country Boys Around,2
a-few-more-seasons,A Few More Seasons,2
a-few-more-years,A Few More Years,3
a-few-stars-short-of-the-moon,A Few Stars Short Of The Moon,3
a-few-steps-away,A Few Steps Away,0
a-fire-i-can-t-put-out,A Fire I Can't Put Out,4
a-fool-and-his-love-are-soon-parted,A Fool And His Love Are Soon Parted,2
a-fool-never-learns,A Fool Never Learns,1
a-fooler-a-faker,A Fooler A Faker,0
a-friend-in-california,A Friend In California,2
a-full-time-job,A Full Time Job,4
a-ghost-of-a-chance,A Ghost Of A Chance,1
a-gift-of-love,A Gift Of Love,3
a-girl-in-the-night,A Girl In The Night,1
a-good-love-and-a-bottle-of-wine,A Good Love And A Bottle Of Wine,2
a-good-love-died-tonight,A Good Love Died Tonight,2
a-good-love-is-like-a-good-song,A Good Love Is Like A Good Song,2
a-good-man-is-hard-to-find,A Good Man Is Hard To Find,1
a-good-old-country-song,A Good Old Country Song,2
a-good-year-for-the-roses,A Good Year For The Roses,1
a-guy-named-joe,A Guy Named Joe,3
a-habit-i-can-t-break,A Habit I Can't Break,1
a-handful-of-dust,A Handful Of Dust,2
a-headache-tomorrow-or-a-heartache-tonight,A Headache Tomorrow Or A Heartache Tonight,3
a-heart-don-t-need-eyes,A Heart Don't Need Eyes,3
a-heart-full-of-love,A Heart Full Of Love,1
a-heart-full-of-love-1,A Heart Full Of Love,1
a-heart-like-hers,A Heart Like Hers,3
a-heart-like-mine,A Heart Like Mine,3
a-heartache-for-a-keepsake,A Heartache for a Keepsake,0
a-heartache-to-recall,A Heartache To Recall,0
a-heartbreak-ago,A Heartbreak Ago,1
a-house-that-has-everything,A House That Has Everything,1
a-house-without-love,A House Without Love,2
a-hundred-and-sixty-acres,A Hundred and Sixty Acres,1
a-hundred-times-today,A Hundred Times Today,4
a-jukebox-with-a-country-song,A Jukebox With a Country Song,2
a-king-without-a-queen,A King Without A Queen,1
a-kiss-and-the-keys,A Kiss And The Keys,1
a-lady-in-your-life,A Lady in Your Life,2
a-letter-from-home,A Letter From Home,1
a-letter-to-tom,A Letter To Tom,3
a-lifetime-isn-t-long-enough,A Lifetime isn't Long Enough,2
a-lifetime-to-regret,A Lifetime To Regret,0
a-little-bit-in-love,A Little Bit In Love,2
a-little-bit-lonesome,A Little Bit Lonesome,4
a-little-bit-south-of-saskatoon,A Little Bit South Of Saskatoon,2
a-little-bitty-tear,A Little Bitty Tear,1
a-little-bluer-than-that,A Little Bluer Than That,1
a-little-boy-called-joe,A Little Boy Called Joe,1
a-little-feeling,A Little Feeling,0
a-little-getting-used-to,A Little Getting Used To,0
a-little-good-news,A Little Good News,2
a-little-heartache,A Little Heartache,0
a-little-heaven-s-rubbing-off-on-me,A Little Heaven's Rubbing Off On Me,0
a-little-left-over,A Little Left Over,1
a-little-more-like-me,A Little More Like Me,1
a-little-old-fashioned-karma,A Little Old Fashioned Karma,1
a-little-old-wine-drinker-me,A Little Old Wine Drinker Me,1
a-little-piece-of-my-heart,A Little Piece Of My Heart,3
a-little-sentimental,A Little Sentimental,0
a-little-spot-in-heaven,A Little Spot In Heaven,1
a-little-time-out,A Little Time Out,4
a-little-too-late,A Little Too Late,4
a-little-unfair,A Little Unfair,1
a-living-prayer,A Living Prayer,2
a-lonely-heart-knows,A Lonely Heart Knows,3
a-lonely-woman,A Lonely Woman,1
a-lonesome-heart,A Lonesome Heart,1
a-lonesome-night,A Lonesome Night,4
a-lonesome-road-to-travel,A Lonesome Road to Travel,1
a-long-and-lasting-love,A Long And Lasting Love,2
a-long-time-ago,A Long Time Ago,4
a-long-time-ago-1,A Long Time Ago,4
a-long-vacation,A Long Vacation,0
a-long-way-from-montana,A Long Way From Montana,2
a-loser-never-had-a-better-friend,A Loser Never Had A Better Friend,4
a-loser-s-cathedral,A Loser's Cathedral,0
a-lot-of-good,A Lot Of Good,0
a-love-like-that,A Love Like That,1
a-love-song,A Love Song,1
a-love-song-1,A Love Song,1
a-loveless-marriage,A Loveless Marriage,0
a-lover-s-quarrel,A Lover's Quarrel,1
a-man-called-peter,A Man Called Peter,1
a-man-i-hardly-know,A Man I Hardly Know,1
a-man-is-on-his-own,A Man Is On His Own,1
a-man-like-me,A Man Like Me,4
a-man-who-is-wise,A Man Who Is Wise,1
a-mansion-for-me,A Mansion For Me,3
a-memory-away,A Memory Away,1
a-memory-like-i-m-gonna-be,A Memory Like I'm Gonna Be,1
a-memory-of-you,A Memory Of You,3
a-memory-that-just-won-t-quit,A Memory That Just Won't Quit,2
a-memory-thats-all-youll-ever-be-to-me,A Memory That’s All You’ll Ever Be To Me,1
a-mess-of-blues,A Mess of Blues,0
a-message-from-the-trade-winds,A Message From The Trade Winds,3
a-message-to-my-mother,A Message To My Mother,1
a-mi-esposa-con-amor-to-my-wife-with-love,A Mi Esposa Con Amor (To My Wife With Love),0
a-mighty-good-god,A Mighty Good God,0
a-mile-and-a-quarter,A Mile And A Quarter,1
a-million-and-one,A Million And One,4
a-million-miles-from-nowhere,A Million Miles From Nowhere,1
a-million-miles-from-your-heart,A Million Miles From Your Heart,3
a-million-miles-to-the-city,A Million Miles To The City,1
a-million-more,A Million More,0
a-million-old-goodbyes,A Million Old Goodbyes,2
a-million-teardrops,A Million Teardrops,0
a-million-tears-from-now,A Million Tears From Now,2
a-million-to-one,A Million To One,4
a-million-years-from-now-lyrics-chords,A Million Years From Now Lyrics Chords,1
a-million-years-in-glory,A Million Years In Glory,1
a-million-years-or-so,A Million Years Or So,1
a-minute-of-your-time,A Minute Of Your Time,4
a-moment-isnt-very-long,A Moment Isn’t Very Long,0
a-mother-s-way,A Mother's Way,1
a-new-baby-for-christmas,A New Baby For Christmas,3
a-new-love,A New Love,2
a-new-love-affair-lyrics-chords,A New Love Affair Lyrics Chords,2
a-new-way-to-cry,A New Way To Cry,3
a-new-way-to-fly,A New Way To Fly,2
a-new-way-to-live,A New Way To Live,0
a-nice-place-to-visit,A Nice Place To Visit,0
a-nickel-for-the-fiddler,A Nickel For The Fiddler,3
a-night-to-remember,A Night To Remember,4
a-not-so-merry-christmas,A Not So Merry Christmas,3
a-pair-of-wings-for-me,A Pair Of Wings For Me,2
a-perfect-day,A Perfect Day,0
a-picture-from-lifes-other-side,A Picture From Life’s Other Side,2
a-picture-of-jesus,A Picture Of Jesus,2
a-picture-of-me-without-you,A Picture of me Without You,1
a-picture-of-your-mother,A Picture Of Your Mother,1
a-place-for-the-lonesome,A Place For The Lonesome,4
a-place-in-the-sun,A Place In The Sun,1
a-place-to-hang-my-hat,A Place To Hang My Hat,1
a-poor-man-s-roses,A Poor Man's Roses,3
a-poor-man-s-woman,A Poor Man's Woman,0
a-prayer-on-your-lips,A Prayer On Your Lips,1
a-pretty-diamond-ring,A Pretty Diamond Ring,1
a-pretty-woman-is-a-deadly-weapon,A Pretty Woman Is A Deadly Weapon,2
a-prison-without-walls,A Prison Without Walls,1
a-real-close-friend,A Real Close Friend,1
a-robin-built-a-nest-on-daddys-grave,A Robin Built A Nest On Daddy’s Grave,2
a-room-without-a-view,A Room Without A View,1
a-rootin-tootin-santa-claus,A Rootin’ Tootin’ Santa Claus,4
a-rose-among-the-thorns,A Rose Among The Thorns,1
a-rose-and-a-baby-ruth,A Rose And A Baby Ruth,1
a-rose-and-a-thorn,A Rose And A Thorn,1
a-rose-between-two-thorns,A Rose Between Two Thorns,2
a-rose-by-any-other-name,A Rose By Any Other Name,1
a-rose-from-the-bride-s-bouquet,A Rose From The Bride's Bouquet,1
a-rose-is-a-rose-is-a-rose,A Rose Is A Rose Is A Rose,1
a-rusty-old-halo,A Rusty Old Halo,0
a-sad-country-song,A Sad Country Song,2
a-seed-before-the-rose,A Seed Before the Rose,1
a-shot-in-the-dark,A Shot In The Dark,1
a-shoulder-to-cry-on,A Shoulder To Cry On,3
a-single-yellow-rose,A Single Yellow Rose,2
a-sinner-s-prayer,A Sinner's Prayer,2
a-soldier-s-king,A Soldier's King,0
a-special-song-for-wanda,A Special Song For Wanda,2
a-step-away,A Step Away,1
a-stranger-s-just-a-friend,A Stranger's Just A Friend,0
a-sweeter-love-than-yours-ill-never-know,A Sweeter Love Than Yours I’ll Never Know,1
a-swimming-pool-full-of-beer,A Swimming Pool Full Of Beer,0
a-tear-dropped-by,A Tear Dropped By,0
a-tear-fell,A Tear Fell,0
a-teardrop-on-a-rose,A Teardrop on a Rose,1
a-teenager-in-love,A Teenager In Love,2
a-teenager-s-romance,A Teenager's Romance,0
a-thief-in-the-night,A Thief In The Night,1
a-thing-called-love,A Thing Called Love,2
a-thing-called-saddness,A Thing Called Saddness,1
a-thousand-miles-ago,A Thousand Miles Ago,1
a-thousand-miles-from-nowhere,A Thousand Miles From Nowhere,1
a-thousand-times-a-day,A Thousand Times A Day,1
a-thousand-times-a-day-1,A Thousand Times A Day,1
a-thousand-times-a-day-2,A Thousand Times A Day,1
a-thousand-wonders,A Thousand Wonders,0
a-time-and-place-for-everything,A Time And Place For Everything,4
a-time-to-remember,A Time To Remember,4
a-toast-to-the-bride,A Toast To The Bride,1
a-town-that-never-sleeps,A Town That Never Sleeps,1
a-train-leaves-here-this-mornin,A Train Leaves Here This Mornin’,1
a-tree-in-the-meadow,A Tree In The Meadow,1
a-truer-love-you-ll-never-find,A Truer Love You'll Never Find,2
a-very-good-year-for-girls,A Very Good Year For Girls,0
a-very-merry-christmas,A Very Merry Christmas,1
a-very-special-love-song,A Very Special Love Song,2
a-very-special-way,A Very Special Way,2
a-vision-of-jesus,A Vision Of Jesus,2
a-way-to-survive,A Way to Survive,1
a-way-to-survive-1,A Way to Survive,1
a-ways-to-go,A Ways To Go,0
a-wedding-ring-ago,A Wedding Ring Ago,1
a-week-in-a-county-jail,A Week In A County Jail,1
a-whistle-and-a-whisker-away,A Whistle And A Whisker Away,1
a-white-sports-coat,A White Sports Coat,1
a-whole-lot-of-hank,A Whole Lot Of Hank,0
a-whole-lot-of-love,A Whole Lot Of Love,2
a-woman-always-knows,A Woman Always Knows,1
a-woman-gets-her-way,A Woman Gets Her Way,0
a-woman-half-my-age,A Woman Half My Age,4
a-woman-has-her-way,A Woman Has Her Way,0
a-woman-in-love,A Woman In Love,2
a-woman-in-love-1,A Woman In Love,2
a-woman-knows,A Woman Knows,0
a-woman-lives-for-love,A Woman Lives For Love,2
a-woman-never-forgets,A Woman Never Forgets,0
a-woman-s-gotta-make-a-stand,A Woman's Gotta Make A Stand,0
a-woman-s-hand,A Woman's Hand,1
a-woman-s-heart-is-a-handy-place-to-be,A Woman's Heart (Is A Handy Place To Be),3
a-woman-s-love,A Woman's Love,1
a-woman-s-love-1,A Woman's Love,1
a-woman-s-touch,A Woman's Touch,1
a-wonderful-time-up-there,A Wonderful Time Up There,4
a-word-or-two-to-mary,A Word Or Two To Mary,2
a-working-man-can-t-get-nowhere-today,A Working Man Can't Get Nowhere Today,4
a-world-i-can-t-live-in,A World I Can't Live In,1
a-world-i-cant-live-in,A World I Can’t Live In,1
a-world-of-our-own,A World Of Our Own,1
a-world-so-full-of-love,A World So Full Of Love,1
a-world-without-music,A World Without Music,1
a-world-without-you,A World Without You,1
a-wound-time-can-t-erase,A Wound Time Can't Erase,2
a-year-ago-this-christmas,A Year Ago This Christmas,3
a-year-ago-today,A Year Ago Today,4
a-year-ago-tonight,A Year Ago Tonight,1
abbey-reel-the,Abbey Reel (The),0
abide-with-me,Abide With Me,2
abilene,Abilene,1
abilene-rose,Abilene Rose,1
able-bodied-man,Able Bodied Man,1
about-horses-and-wars,About Horses and Wars,1
above-all,Above All,1
above-and-beyond-the-call-of-love,Above and Beyond the Call of Love,3
above-suspicion,Above Suspicion,0
abraham-martin-and-john,Abraham Martin And John,2
absence,Absence,0
absent-minded-me,Absent Minded Me,0
ac-cent-tchu-ate-the-positive,Ac-Cent-Tchu-Ate The Positive,1
acadian-a-two-step,Acadian(a) Two Step,2
acapulco,Acapulco,0
accidental-love,Accidental Love,2
accidentally-on-purpose,Accidentally on Purpose,0
accidentally-on-purpose-1,Accidentally On Purpose,0
accidentally-on-purpose-tonight,Accidentally On Purpose Tonight,1
according-to-my-heart,According to my Heart,3
according-to-the-bible,According To The Bible,1
ace-in-the-hole,Ace In The Hole,1
ace-of-hearts,Ace Of Hearts,2
achin-thing-called-love,Achin' Thing Called Love,2
aching-breaking-heart,Aching Breaking Heart,3
achy-breaky-heart,Achy Breaky Heart,3
achy-breaky-heart-1,Achy Breaky Heart,3
acony-bell,Acony Bell,0
acorn-hill-breakdown,Acorn Hill (Breakdown),1
across-the-alley-from-the-alamo,Across the Alley From the Alamo,1
across-the-border,Across The Border,1
across-the-borderline,Across The Borderline,2
across-the-bridge,Across the Bridge,1
across-the-miles-at-christmas,Across The Miles At Christmas,3
across-the-plains,Across the Plains,1
across-the-sea,Across the Sea,1
across-the-sea-blues,Across the Sea Blues,3
across-the-wide-missouri,Across The Wide Missouri,1
across-this-town-and-gone-lyrics-with-chords,Across This Town And Gone Lyrics with Chords,4
